zip,lat,lng,source,fetched_at
01119,42.124978,-72.51121,census_gazetteer_2023,2025-09-12 15:25:02.814031
01128,42.092296,-72.489135,census_gazetteer_2023,2025-09-12 15:25:02.814031
01129,42.118671,-72.488203,census_gazetteer_2023,2025-09-12 15:25:02.814031
01144,42.101894,-72.590907,census_gazetteer_2023,2025-09-12 15:25:02.814031
01151,42.15186,-72.509131,census_gazetteer_2023,2025-09-12 15:25:02.814031
01201,42.454302,-73.282074,census_gazetteer_2023,2025-09-12 15:25:02.814031
01220,42.62556,-73.119828,census_gazetteer_2023,2025-09-12 15:25:02.814031
01222,42.062743,-73.317498,census_gazetteer_2023,2025-09-12 15:25:02.814031
01223,42.304286,-73.111494,census_gazetteer_2023,2025-09-12 15:25:02.814031
01224,42.503728,-73.201636,census_gazetteer_2023,2025-09-12 15:25:02.814031
01225,42.565107,-73.149142,census_gazetteer_2023,2025-09-12 15:25:02.814031
01226,42.479819,-73.153776,census_gazetteer_2023,2025-09-12 15:25:02.814031
01229,42.29008,-73.354218,census_gazetteer_2023,2025-09-12 15:25:02.814031
01230,42.173196,-73.32429,census_gazetteer_2023,2025-09-12 15:25:02.814031
01235,42.425677,-73.063028,census_gazetteer_2023,2025-09-12 15:25:02.814031
01236,42.274499,-73.386155,census_gazetteer_2023,2025-09-12 15:25:02.814031
01237,42.549804,-73.261144,census_gazetteer_2023,2025-09-12 15:25:02.814031
01238,42.300457,-73.231006,census_gazetteer_2023,2025-09-12 15:25:02.814031
01240,42.382693,-73.266632,census_gazetteer_2023,2025-09-12 15:25:02.814031
01242,42.333734,-73.249199,census_gazetteer_2023,2025-09-12 15:25:02.814031
01243,42.367907,-73.054094,census_gazetteer_2023,2025-09-12 15:25:02.814031
01244,42.117456,-73.278635,census_gazetteer_2023,2025-09-12 15:25:02.814031
01245,42.193307,-73.218499,census_gazetteer_2023,2025-09-12 15:25:02.814031
01247,42.695699,-73.093852,census_gazetteer_2023,2025-09-12 15:25:02.814031
01253,42.206683,-73.113214,census_gazetteer_2023,2025-09-12 15:25:02.814031
01254,42.382019,-73.365492,census_gazetteer_2023,2025-09-12 15:25:02.814031
01255,42.1029,-73.125991,census_gazetteer_2023,2025-09-12 15:25:02.814031
01256,42.594166,-73.02232,census_gazetteer_2023,2025-09-12 15:25:02.814031
01257,42.085244,-73.367483,census_gazetteer_2023,2025-09-12 15:25:02.814031
01258,42.09092,-73.470197,census_gazetteer_2023,2025-09-12 15:25:02.814031
01259,42.06926,-73.228949,census_gazetteer_2023,2025-09-12 15:25:02.814031
01260,42.261673,-73.27516,census_gazetteer_2023,2025-09-12 15:25:02.814031
01262,42.310055,-73.324468,census_gazetteer_2023,2025-09-12 15:25:02.814031
01264,42.234822,-73.197083,census_gazetteer_2023,2025-09-12 15:25:02.814031
01266,42.312354,-73.388044,census_gazetteer_2023,2025-09-12 15:25:02.814031
01267,42.671617,-73.246981,census_gazetteer_2023,2025-09-12 15:25:02.814031
01270,42.519837,-73.04969,census_gazetteer_2023,2025-09-12 15:25:02.814031
01301,42.626761,-72.60153,census_gazetteer_2023,2025-09-12 15:25:02.814031
01330,42.513947,-72.821517,census_gazetteer_2023,2025-09-12 15:25:02.814031
01331,42.570237,-72.182903,census_gazetteer_2023,2025-09-12 15:25:02.814031
01337,42.689307,-72.582289,census_gazetteer_2023,2025-09-12 15:25:02.814031
01338,42.575889,-72.80665,census_gazetteer_2023,2025-09-12 15:25:02.814031
01339,42.61045,-72.887735,census_gazetteer_2023,2025-09-12 15:25:02.814031
01340,42.68553,-72.731135,census_gazetteer_2023,2025-09-12 15:25:02.814031
01341,42.507177,-72.701525,census_gazetteer_2023,2025-09-12 15:25:02.814031
01342,42.543889,-72.609458,census_gazetteer_2023,2025-09-12 15:25:02.814031
01343,42.64773,-72.969767,census_gazetteer_2023,2025-09-12 15:25:02.814031
01344,42.613418,-72.426428,census_gazetteer_2023,2025-09-12 15:25:02.814031
01346,42.658496,-72.806057,census_gazetteer_2023,2025-09-12 15:25:02.814031
01347,42.563223,-72.509775,census_gazetteer_2023,2025-09-12 15:25:02.814031
01349,42.56746,-72.467542,census_gazetteer_2023,2025-09-12 15:25:02.814031
01350,42.727772,-72.985346,census_gazetteer_2023,2025-09-12 15:25:02.814031
01351,42.53988,-72.521689,census_gazetteer_2023,2025-09-12 15:25:02.814031
01354,42.624101,-72.508607,census_gazetteer_2023,2025-09-12 15:25:02.814031
01355,42.458551,-72.327191,census_gazetteer_2023,2025-09-12 15:25:02.814031
01360,42.677091,-72.453876,census_gazetteer_2023,2025-09-12 15:25:02.814031
01364,42.605437,-72.292074,census_gazetteer_2023,2025-09-12 15:25:02.814031
01366,42.491583,-72.180876,census_gazetteer_2023,2025-09-12 15:25:02.814031
01367,42.692882,-72.919244,census_gazetteer_2023,2025-09-12 15:25:02.814031
01368,42.676687,-72.184052,census_gazetteer_2023,2025-09-12 15:25:02.814031
01370,42.593376,-72.726928,census_gazetteer_2023,2025-09-12 15:25:02.814031
01373,42.475481,-72.615403,census_gazetteer_2023,2025-09-12 15:25:02.814031
01375,42.466691,-72.546751,census_gazetteer_2023,2025-09-12 15:25:02.814031
01376,42.591441,-72.544674,census_gazetteer_2023,2025-09-12 15:25:02.814031
01378,42.679971,-72.339882,census_gazetteer_2023,2025-09-12 15:25:02.814031
01379,42.527853,-72.398403,census_gazetteer_2023,2025-09-12 15:25:02.814031
01380,42.588496,-72.406298,census_gazetteer_2023,2025-09-12 15:25:02.814031
01420,42.584925,-71.816862,census_gazetteer_2023,2025-09-12 15:25:02.814031
01430,42.673052,-71.920335,census_gazetteer_2023,2025-09-12 15:25:02.814031
01431,42.676293,-71.832523,census_gazetteer_2023,2025-09-12 15:25:02.814031
01432,42.566588,-71.575126,census_gazetteer_2023,2025-09-12 15:25:02.814031
01434,42.53206,-71.61374,census_gazetteer_2023,2025-09-12 15:25:02.814031
01436,42.602059,-72.087015,census_gazetteer_2023,2025-09-12 15:25:02.814031
01438,42.561088,-72.036074,census_gazetteer_2023,2025-09-12 15:25:02.814031
01440,42.588337,-71.986069,census_gazetteer_2023,2025-09-12 15:25:02.814031
01450,42.611636,-71.564743,census_gazetteer_2023,2025-09-12 15:25:02.814031
01451,42.501908,-71.568201,census_gazetteer_2023,2025-09-12 15:25:02.814031
01452,42.495111,-72.002339,census_gazetteer_2023,2025-09-12 15:25:02.814031
