variant,canonical,source
BRODIE GENERATIONAL CAPITAL,BRODIE GENERATIONAL CAPITAL PARTNERS,donor_overlap
CANAM,CANAM ENTERPRISES,donor_overlap
CANVASBACK,CANVASBACK MANAGEMENT,donor_overlap
CENTRE PARTNERS,CENTRE PARTNERS MANAGEMENT,donor_overlap
CRAYHILL CAPITAL,CRAYHILL CAPITAL MANAGEMENT,donor_overlap
CRESA GLOBAL,CRESA,donor_overlap
CRESSET,CRESSET CAPITAL,donor_overlap
CYMBAL DLT COMPANIES,CYMBAL DLT,donor_overlap
EDGEWOOD CONSULTING GROUP,EDGEWOOD CONSULTING,donor_overlap
F AND F CAPITAL,F AND F CAPITAL GROUP,donor_overlap
FEDWAY,FEDWAY ASSOCIATES,donor_overlap
FIDELITY,FIDELITY INVESTMENTS,donor_overlap
FINMARC MANAGEMENT,FINMARC,donor_overlap
FIRST RATE FINANCIAL,FIRST RATE FINANCIAL GROUP,donor_overlap
FLATIRON VENTURE PARTNERS,THE FLATIRON GROUP,donor_overlap
FRIEDKIN PROPERTY GROUP,FRIEDKIN PROPERTY,donor_overlap
FULTON,FULTON CAPITAL,donor_overlap
GINA GROUP,GINA,donor_overlap
GLOBAL INFRASTRUCTURE,GLOBAL INFRASTRUCTURE PARTNERS,donor_overlap
GOLDER INVESTMENT MANAGEMENT,GOLDER INVESTMENT,donor_overlap
HAMMERMAN CAPITAL,HAMMERMAN CAPITAL MANAGEMENT,donor_overlap
HOFKIN CAPITAL,HOFKIN CAPITAL MANAGEMENT,donor_overlap
HORNROCK,HORNROCK PROPERTIES,donor_overlap
IBM CONSULTING,IBM CORP,donor_overlap
IRON,IRON FINANCIAL,donor_overlap
JF CAPITAL ADVISORS,JF CAPITAL,donor_overlap
JUMP,JUMP MANAGEMENT,donor_overlap
KELLER WILLIAMS REALTY,KELLER WILLIAMS,donor_overlap
KRG CAPITAL,KRG CAPITAL PARTNERS,donor_overlap
LABOVICK LAW,LABOVICK LAW GROUP,donor_overlap
LENORE ENTERTAINMENT,LENORE ENTERTAINMENT GROUP,donor_overlap
LMC ADVISORS,L.M. COHEN & CO.,donor_overlap
LONG AND FOSTER REALTY,LONG AND FOSTER,donor_overlap
LSN,LSN PARTNERS,donor_overlap
MAGELLAN DEVELOPMENT GROUP,MAGELLAN DEVELOPMENT,donor_overlap
MCA FINANCIAL GROUP,MCA FINANCIAL,donor_overlap
MCGUIREWOODS CONSULTING,MCGUIREWOODS,donor_overlap
MERIDIAN CAPITAL,MERIDIAN CAPITAL GROUP,donor_overlap
MILL POND,MILL POND CAPITAL,donor_overlap
NALPAK,NALPAK CAPITAL,donor_overlap
NAVITAS,NAVITAS CAPITAL,donor_overlap
NUCARE SERVICES GROUP,NUCARE SERVICES,donor_overlap
OMINET,OMNINET CAPITAL,donor_overlap
OMINET CAPITAL,OMNINET CAPITAL,donor_overlap
PENSAM,PENSAM CAPITAL,donor_overlap
PIERPOINT CAPITAL,PIERPOINT,donor_overlap
PIERPOINT CAPITAL MANAGEMENT,PIERPOINT,manual
PLATINUM MILE VENTURES,PLATINUM MILE,donor_overlap
PROVIDENT REAL ESTATE VENTURES,PROVIDENT REAL ESTATE,donor_overlap
PWC US GROUP,PWC,donor_overlap
QUADRANT CAPITAL,QUADRANT CAPITAL ADVISORS,donor_overlap
RCC,RCC CONSULTING,donor_overlap
RENSOP INVESTMENTS,RENSOP,donor_overlap
ROC CAPITAL,ROC,donor_overlap
ROYAL MEDIA,ROYAL MEDIA GROUP,donor_overlap
RPK DEVELOPMENT,RPK,donor_overlap
SABER REAL ESTATE,SABER REAL ESTATE ADVISORS,donor_overlap
SERVENCO,SERVENCO MANAGEMENT,donor_overlap
SIGNATURE,SIGNATURE BANK,donor_overlap
SINGER WEALTH,SINGER WEALTH ADVISORS,donor_overlap
SMARTY,SMARTY MANAGEMENT,donor_overlap
STANBERY DEVELOPMENT GROUP,STANBERY DEVELOPMENT,donor_overlap
STATE STREET CAPITAL,STATE STREET CAPITAL PARTNERS,donor_overlap
STRATA EQUITY,STRATA EQUITY GROUP,donor_overlap
STRUCK,STRUCK CAPITAL,donor_overlap
SUNVERA,SUNVERA GROUP,donor_overlap
TKO GROUP,TKO GROUP HOLDINGS,donor_overlap
TRIANGLE CAPITAL,TRIANGLE CAPITAL GROUP,donor_overlap
TRIUS LENDING,TRIUS LENDING PARTNERS,donor_overlap
TRYAX REALTY,TRYAX REALTY MANAGEMENT,donor_overlap
UNGER REALTY SERVICES,UNGER REALTY,donor_overlap
USI INSURANCE,USI INSURANCE SERVICES,donor_overlap
VLEIGH,VLEIGH MANAGEMENT,donor_overlap
WALLACHBETH CAPITAL,WALLACHBETH,donor_overlap
WESTPAC WEALTH PARTNERS,WESTPAC WEALTH,donor_overlap
GIBSON DUNN,GIBSON DUNN AND CRUTCHER,donor_overlap
CEDARS SINAI,CEDARS-SINAI MEDICAL CENTER,donor_overlap
CEDARS-SINAI,CEDARS-SINAI MEDICAL CENTER,donor_overlap
SHADER BROS,SHADER BROTHERS,donor_overlap
"WOLF, RIFKIN","WOLF, RIFKIN, SHAPIRO, SCHULMAN AND RABK",donor_overlap
TFN,TRAVEL FUNDERS NETWORK,donor_overlap
KIRKLAND,KIRKLAND AND ELLIS,donor_overlap
KTBS,KTBS LAW,donor_overlap
RUB PEDIATRICS,RUB PEDIATRICS MD,donor_overlap
ATRIUM,ATRIUM HEALTH,donor_overlap
HARBERG + HUVARD,HARBERG AND HUVARD,donor_overlap
LION BRAND YARNS,LIONBRAND YARN COMPANY,donor_overlap
L.M. COHEN AND CO,L.M. COHEN & CO.,donor_overlap
BRAMAN MANAGEMENT ASSOCIATION,BRAMAN MANAGEMENT ASSOCIATES,donor_overlap
NJB ADVISORS,NJB INVESTMENTS,donor_overlap
JPMORGAN,JPMORGAN CHASE,donor_overlap
JP MORGAN,JPMORGAN CHASE,donor_overlap
JP MORGAN CHASE,JPMORGAN CHASE,donor_overlap
GOLDMAN SACHS AND CO,GOLDMAN SACHS,donor_overlap
"GOLDMAN, SACHS AND CO",GOLDMAN SACHS,donor_overlap
GOLDMAN'S SACHS,GOLDMAN SACHS,donor_overlap
SL NUSBAUM REALY CO,S.L. NUSBAUM REALTY CO,donor_overlap
DHC REAL ESTATE SERVICE,DHC REAL ESTATE SERVICES,donor_overlap
